inches (0.0001 in),mean voltage (mV),uncertainty of  mean voltage (mV)
0.83,-20.3,0.3
0.8211,-29.1,0.3
0.7983,-18.2,0.3
0.7744,-22.7,0.3
0.763,-34,0.3
0.7591,-21.9,0.3
0.7275,-54.4,0.3
0.7239,-178,0.5
0.7169,-72.2,0.4
0.7087,-42.5,0.3
0.7054,-180,1
0.696,-655,1
0.6948,-180,1
0.69,-165,1
0.6892,-90,0.5
0.6863,-66,0.5
0.6811,-227,0.5
0.4453,-1770,10
0.5028,-1220,10
0.5269,-460,1
0.5486,-431,1
0.5557,-1490,10
0.5902,-240,3
0.631,-494,3
0.6377,-275,1
0.642,-1310,10
0.6439,-1480,1
0.6501,-806,1
0.653,-147,1
0.6636,-342,1
0.6662,-726,1
0.6703,-589,2
